"Kreditkarte:";"FTL Credit Card / *7734";

"Zeitraum:";"01.01.2019 - 04.04.2020";
"Saldo:";"-24,64";
"Datum:";"03.04.2020";

"Belegdatum";"Wertstellung";"Beschreibung";"Betrag (EUR)";"Ursprünglicher Betrag";"Umrechnungskurs";"Umsatz abgerechnet";
"31.03.2020";"02.04.2020";"1,75% für Einsatz der Kar";"-0,11";"";"";"Nein";
"31.03.2020";"02.04.2020";"DIGITALOCEAN.COM";"-6,54";"-7,14 USD";"1,0918";"Nein";
"29.03.2020";"30.03.2020";"Spotify";"-14,99";"";"";"Nein";
"19.03.2020";"19.03.2020";"AMZ*PMI Trading";"8,70";"";"";"Nein";
"18.03.2020";"19.03.2020";"1,75% für Einsatz der Kar";"-0,12";"";"";"Nein";
"18.03.2020";"19.03.2020";"DIGITALOCEAN.COM";"-6,59";"-7,14 USD";"1,084229";"Nein";
"18.03.2020";"19.03.2020";"Lastschrift";"363,12";"";"";"Nein";
"18.03.2020";"18.03.2020";"monatlicher Kartenpreis";"-5,41";"";"";"Ja";
"18.03.2020";"19.03.2020";"AXEL SPRINGER SE/WELT+";"-4,99";"";"";"Nein";
"16.03.2020";"19.02.2020";"AMZ*ewhisky";"62,35";"";"";"Ja";
"04.03.2020";"05.03.2020";"Amazon.de";"-24,22";"";"";"Ja";
"02.03.2020";"19.02.2020";"AMZN Mktp DE";"8,49";"";"";"Ja";
"02.03.2020";"03.03.2020";"AMZN Mktp DE*T68OH3FG5";"-165,58";"";"";"Ja";
"02.03.2020";"19.02.2020";"WECIRC";"3,00";"";"";"Ja";
"29.02.2020";"02.03.2020";"Spotify";"-14,99";"";"";"Ja";
"28.02.2020";"02.03.2020";"AMZN Mktp DE*G952H7335";"-23,90";"";"";"Ja";
"27.02.2020";"28.02.2020";"AMZN Mktp DE*AE33F3GS5";"-70,31";"";"";"Ja";
"26.02.2020";"27.02.2020";"Amazon.de";"-54,80";"";"";"Ja";
"24.02.2020";"25.02.2020";"AMZN MKTP DE*IE7O01UF5";"-8,95";"";"";"Ja";
"19.02.2020";"20.02.2020";"Amazon.de";"-68,80";"";"";"Ja";
"18.02.2020";"19.02.2020";"Lastschrift";"2.107,27";"";"";"Ja";
"18.02.2020";"18.02.2020";"monatlicher Kartenpreis";"-5,41";"";"";"Ja";
"17.02.2020";"17.02.2020";"AMZN Mktp DE*CM0JL4PQ5";"-1.321,72";"";"";"Ja";
"17.02.2020";"18.02.2020";"AMZN Mktp DE*OL9YI5VD5";"-65,00";"";"";"Ja";
